ID,sex,LDSR_CERCZM_BLUP,SRSR_COLLGR_BLUP,LDSR_CORBNE_BLUP,ERSR_GIBBFU_BLUP,ERSR_GIBBZE_BLUP,LDSR_NLBR1_BLUP,LDSR_PUCCPY_BLUP,LDSR_TARSC_BLUP,YLD_BE_BLUP,AGSPP_BLUP,RTLP_BLUP,STLP_BLUP,TWT_BE_BLUP,MST_BE_BLUP
1,M,NA,,0.21942842,1.721422112,0.509143126,0.932662547,-1.192613472,0.085267026,-5.374679573,-0.11819454,1.345558851,1.733987234,-0.041032744,-0.0819541
2,M,-0.25347592,-1.245235147,0.342686706,-0.15244671,-0.758069933,0.668126838,0.718560401,-0.071178641,14.96002445,-5.928726235,1.448965482,1.109678673,0.529529031,1.626099472
3,F,0.36666548,-0.340338538,0.335832043,-0.224171668,-1.077637215,0.223972141,1.057055933,0.01186737,9.914818587,3.932576353,2.33951479,-0.900080617,0.211071109,-0.892573666
4,M,0.388358071,-2.151650722,-0.811376494,0.399855877,0.0966541,1.347435977,-0.022885199,-0.005387496,4.200641777,-5.72057057,-2.21913031,0.623627044,-1.11493948,0.713059299
5,F,-0.187598464,-2.557407201,-1.038952969,1.592511805,0.679283599,0.098307436,-0.782883149,-0.060896515,-0.442148587,-0.798183955,0.818639077,-1.027290094,-0.715195605,1.309212968
6,M,-1.015691887,-0.743777381,0.290250598,0.403266428,-1.178801106,1.737249729,0.01288223,-0.0467493,15.16016932,10.88513231,5.261835758,0.046676678,-0.03308244,0.617590856
7,M,-0.040821336,-0.071509285,-0.497229025,0.595772231,0.788838573,0.316037463,-1.682023149,-0.029948285,-2.904214292,1.818921501,-2.22677168,1.67636097,0.816554441,-1.239676193
8,F,-0.037122769,-0.822456551,-1.8889038,-0.471166209,1.730669262,-0.304271133,-0.56982126,0.051754552,6.709653149,-11.51778962,-0.26491605,0.41906959,-2.079701832,-0.313697801
9,M,-0.279350817,-1.049464941,0.320164357,-0.206717028,0.553064906,0.678500453,-1.389304523,-0.136999522,9.758346794,-0.483257158,-1.933498934,2.312768797,0.661823286,1.226501899
10,M,0.579259218,0.329503981,-0.163963369,-0.442929126,1.347162855,0.596798512,-1.245932662,0.134382471,14.61656458,3.859402827,-0.782634717,-0.608001054,-0.707363003,2.053163726
11,F,-0.041810036,-1.191431857,0.781498255,0.073387634,-1.103017309,0.185265306,1.889020574,0.154079912,-9.365466754,-7.277220206,-2.192515352,-0.326008956,0.851508798,-0.231926995
12,F,-0.769691555,-1.176397228,-0.332764546,1.608271824,1.572576963,0.108080411,-1.990561222,-0.222816723,-8.306021107,-10.1945411,2.076478271,-0.939732967,0.249560068,1.490058712
13,M,0.746403324,-0.529307754,0.512863469,1.061285627,-0.336474303,0.423641454,0.111944247,-0.041382446,6.204918595,1.321558137,0.492883574,-0.711759866,-1.746618642,1.219926321
14,M,-0.212005471,-0.978279054,-1.230400944,1.354323949,1.012411634,0.808922149,-0.892070414,-0.03637549,3.262065855,-8.525399642,2.502720734,0.674273367,-2.207377364,1.765736033
15,F,-0.53507662,1.058152848,-0.164982938,-0.694596418,0.835953578,0.060248284,-0.699364965,-0.112920377,8.112852805,-6.190870406,2.151775333,-0.154148935,1.023154905,2.274062235
16,F,-0.140386286,-0.864123693,-0.510748189,-1.027236079,0.578972127,-0.110603483,-0.648441234,-0.165613258,6.939603946,3.028338906,0.724785605,-0.738963264,-0.084593473,-0.837982173
17,F,-0.458644279,-0.365999508,-0.350862115,-0.840306092,0.655117441,0.726201475,-1.116154689,0.119437111,24.83680901,10.08634719,4.02127567,0.817198385,0.175172035,0.002869555
18,M,0.1833598,-1.227908293,0.34178002,1.172904875,-0.028135923,0.008213075,0.263122371,-0.055256203,2.062713113,-11.03396724,3.106451509,-2.227390401,-0.749323276,-1.629479021
19,F,0.150029129,-0.5613229,-0.429420448,0.467435123,-0.434506213,-0.276995679,0.071729732,0.010357745,19.02831291,5.424732403,-4.54982812,-0.286169056,-0.844516703,0.889010543
20,M,0.196219213,0.30764512,0.30356649,0.374845471,0.640197829,-0.01061017,-0.693642354,0.011483623,9.031607433,-7.932661639,-0.486622941,0.22964063,0.358817524,0.483037788
21,F,0.607442549,0.116522207,-0.531710697,0.017189137,1.67676043,0.269693202,-1.828119147,0.051195142,4.848979689,-2.385064031,4.861728187,0.287263966,0.924128957,-1.682919985
22,F,0.406618445,-1.400919536,-0.00231672,0.311611754,0.672727729,0.781833668,-0.968222453,0.135097119,9.481141575,6.782920702,-1.96631105,1.472453646,-0.908283616,1.836026405
23,F,-0.343743414,-1.772806394,-0.275218645,2.121569121,-0.177814038,0.234598401,-0.520192921,0.034467353,11.70138989,1.399644497,-1.000405711,1.230801859,-0.9392077,1.8936298
24,M,0.436498698,-1.778225816,0.322512704,-1.071764445,1.571876037,-0.457472432,-1.178488426,0.026248932,8.272407523,6.700319778,1.692131598,-0.061053856,0.117465785,1.609839145
25,M,0.527778458,-0.457787655,-0.054533841,1.493550286,0.276185798,0.779578807,-0.668899524,-0.006761602,1.896098419,-3.667091724,1.93526739,0.471021777,-1.081025788,0.332059784
26,F,0.041239608,-0.347973584,-0.71603931,0.465923526,0.926229636,-1.085868864,-0.611397312,0.068764095,11.29723141,5.475985786,0.590149729,-0.193707275,-0.764168267,2.397658513
27,M,0.051558566,-0.289920408,-1.045338889,0.087704665,0.798506038,0.336152831,-0.768299821,0.124369229,-8.163312442,4.32930097,-4.925123206,-0.159320413,1.319947339,1.61584552
28,F,-0.411102769,-2.558274964,-1.486397918,0.583473658,0.574317425,-0.542399118,-0.642111939,-0.069311646,5.501893457,3.785549359,0.987151256,1.671570248,-0.702031214,0.478603669
29,F,0.255336398,-0.455464177,-0.470233403,0.148708587,-0.009928539,0.659368158,0.59517653,0.176295303,8.986515059,-5.682018989,0.168726246,-0.850750239,-0.355489447,0.275012723
30,F,0.030152986,-1.69984688,0.959643811,-0.525697109,0.784385744,-0.014498404,-0.193887404,0.175674012,-2.155676249,-6.604715893,-4.292110416,-0.680996232,1.003314221,-0.712927917
31,F,0.305762533,0.156985619,0.607319431,-0.318534068,1.22629907,0.038807431,-1.20329164,0.131864093,-7.174685086,10.66058292,2.403758345,0.140530838,0.337838835,1.087621458
32,F,0.373052145,0.599299544,0.243630019,0.658828942,-0.316045321,-0.135390812,0.540089704,0.108966882,-6.214981504,4.624565701,-0.540980849,-2.142055736,-0.405791278,0.252141606
33,F,-0.64659705,-1.485075662,-0.805496704,-0.152904913,0.612212522,0.347686603,-0.236110693,0.041957988,1.874124369,0.956904679,7.015152517,-0.075687997,-0.032285206,-0.321523166
34,M,0.154848392,-0.323216883,-0.687276353,-1.419957114,0.226208784,-0.005999144,0.307622604,-0.136496427,16.31311252,-1.642903644,1.772685752,-1.601962155,-0.33698795,0.661593155
35,F,-0.952128189,-0.721815747,0.261546285,0.760209911,0.77542166,0.003602982,-1.913484739,-0.048864697,14.37813655,8.768309953,1.079224708,-1.252664063,-0.228557939,-0.852536633
36,M,-0.435841832,-0.891173811,-1.114110357,0.886801539,0.07666433,0.093429171,-0.197177883,-0.132103561,5.10394039,1.386846659,2.814503949,-0.272779705,-1.07318319,1.928059705
37,M,-0.451279299,-0.311440968,-0.54541812,-0.245486472,-0.936061645,0.168257279,0.58500368,-0.123866115,18.38293855,9.171169954,-3.338372832,-2.359455603,-0.446801657,2.427355445
38,M,-0.208283541,0.009444815,-0.729995522,1.024548905,1.266532163,0.223872702,-1.728003677,0.075577621,-0.67877465,-1.511897993,1.932720029,1.404093842,-0.379081333,-1.825820928
39,F,0.274239222,-0.820754563,-2.042940391,0.660745317,1.060284264,-0.433714921,-0.27961803,0.089711742,-6.408926796,-8.066452991,-4.439569479,-1.36643416,-0.227698236,-0.470610201
40,F,-0.242816662,-0.230927421,0.537899981,0.146178454,-0.077084206,-0.630166246,-0.424935639,-0.07375052,2.178938428,-0.109572577,0.765046902,0.553318298,1.54342732,-1.887331261
41,M,-0.291663347,-1.391782209,2.256718943,-0.312714369,-0.23529342,-0.545887876,-0.142192423,-0.071120306,-2.583637057,12.32419742,1.258829806,-0.493201404,0.662697779,1.351733586
42,F,-0.072059404,-1.090864814,0.437556022,0.426984049,-0.01973773,0.255135353,0.189941178,-0.012890512,-1.504868238,-2.478752972,0.825815826,1.417530307,-0.80488454,1.861379871
43,M,-0.010782657,-1.214183422,-0.537750628,0.800108975,0.359214116,0.479743399,-0.859327842,-0.071191062,8.330770342,7.324254304,0.605057372,0.738113047,-1.855625019,2.040888632
44,M,-0.012579077,0.07386808,0.084664405,-0.910915738,1.172291757,-1.48199698,-0.869977892,-0.241479981,18.79072054,-8.159640925,0.663686589,-0.630649694,0.108686873,0.647364735
45,F,-0.24046269,-0.823696618,0.308116132,-0.001211942,0.594231912,0.170787611,-0.316260387,-0.049426535,-11.75817741,-5.222782467,-4.923568103,-2.636697131,1.321123436,1.74064397
46,F,-0.341492544,-0.845701729,1.022417187,-0.117958572,0.251049501,-0.158106089,-0.996753188,-0.039609898,-5.3410993,9.936604366,-3.082734003,1.983937848,0.600865798,0.534502079
47,M,-0.325928704,0.416941196,-0.68458124,-0.357349879,-0.420996038,-0.959365541,0.553101715,-0.101139237,-2.339393821,2.725719692,-1.617689466,-0.228329439,0.300170728,-0.683685899
48,F,-0.492887473,-1.278644378,1.066042781,-0.769191284,0.907666902,-0.700095897,-0.917514483,-0.203394459,18.438205,-3.522072883,2.174092356,-0.788121895,-1.319891682,-0.508067485
49,F,0.867550551,-0.72657036,0.872463991,0.152327265,0.154729002,0.353838571,0.38079389,-0.041968555,7.972073662,-5.70388287,1.382658565,-2.673924597,-1.011235481,2.034155294
50,M,-0.008373718,-0.178090267,-1.313400409,0.273799247,0.699563815,-0.493916544,-0.212420364,0.136868333,-1.159045043,0.087815374,3.686419235,0.057059421,-0.82805923,-2.933369688
51,M,-0.193377335,-1.024211045,-0.908988495,0.894951364,0.173673754,-0.715757008,-0.485535547,0.071031911,-1.605476115,2.129392131,-5.777097379,-0.457818668,1.611956217,-0.932396417
52,F,0.28639087,0.794649082,0.854560911,1.724525294,0.715606653,0.303434901,-1.821123903,0.121259382,0.695501487,-6.569746252,-1.695620337,-0.770535107,1.595284698,-4.072656841
