"YLD_BE_BLUP","AGSPP_BLUP","IEMERG_BLUP","LDSR_CERCZM_BLUP","SRSR_COLLGR_BLUP","LDSR_CORBNE_BLUP","ERSR_GIBBFU_BLUP","ERSR_GIBBZE_BLUP","LDSR_NLBR1_BLUP","LDSR_PUCCPY_BLUP","LDSR_TARSC_BLUP","Index","group","RM"
0,-2.067777135,0,0,0,0,-0.081573833,0,0,-0.093432514,0,"index_1","J","Mediterranean b"
0,-1.155637086,4.976436753,0,0,-5.8793137,0,0,0,0,0,"index_2","I","Humid continental a"
1.235387234,0,0,0,0,0,0,-0.414330935,-4.85750615,0,-1.226040778,"index_3","B","Mediterranean b"
0,-2.968629327,0,0,0,0,0,0,-0.54612552,0,0,"index_4","D","Humid continental b"
0,-0.325204901,0,0,0,-4.07168407,-0.435616003,0,0,0,0,"index_5","J","Sub-arctic"
0,-2.53204545,5.618170647,0,-0.581107632,0,0,-2.976027401,0,0,0,"index_6","C","Humid continental b"
0,0,5.165979578,0,-0.791295499,0,-0.803940634,-1.477603696,0,-0.429440854,0,"index_7","J","Subtropical dessert"
0,0,6.136289243,0,0,0,0,-0.402559288,0,-10.22693124,0,"index_8","E","Subtropical steppe"
0,-1.649195837,5.92966693,0,0,-3.196341324,0,0,-0.691873559,0,0,"index_9","D","Humid subtropical"
0,0,0,0,0,0,-0.210554495,-0.171756034,0,-0.078833683,0,"index_10","H","Humid continental a"
0,-2.353253958,0,-0.009843186,0,0,0,-1.448564477,0,0,-0.30848768,"index_11","C","Mid-latitude steppe"
0,-0.532812947,0,-0.952110242,0,0,0,-1.095055361,-0.521037743,0,-7.105605943,"index_12","B","Humid subtropical"
0,0,0,0,0,0,0,0,-0.110940742,0,0,"index_13","C","Mid-latitude steppe"
0,-1.523847582,0,0,0,0,-0.078951435,0,-9.18445915,-0.073724093,-7.266085194,"index_14","E","Sub-arctic"
0,-1.10863149,0,-6.543525157,0,-1.450559131,-0.694192424,-0.526161582,0,-4.245065021,0,"index_15","C","Humid continental a"
1.00624777,0,0,-0.001920622,0,0,0,0,-0.29887148,0,-1.724367029,"index_16","D","Subtropical dessert"
0,-3.543333854,0,-2.38780658,0,-3.009601538,-0.395013767,0,0,-17.51420325,0,"index_17","J","Subtropical steppe"
0,-2.518185645,0,-0.01248404,0,-4.316780039,-0.354411531,0,-6.451646729,-11.34145519,0,"index_18","E","Equatorial rainforest"
0.891857402,0,0,-0.035051344,0,-18.31294741,-0.489137131,0,-1.045444261,0,0,"index_19","J","Subtropical steppe"
0,-2.588870653,0,0,0,0,0,0,0,0,0,"index_20","F","Subtropical dessert"
0,-4.723416682,0,0,0,0,-0.966848132,0,-0.349899032,-0.022628187,-4.57569774,"index_21","J","Mediterranean b"
0,0,0,0,-0.888146771,0,-0.144074326,-0.080061577,-0.44935838,0,0,"index_22","H","Subtropical steppe"
0,-2.798153718,0,0,-0.325585127,0,0,0,-4.528716946,-0.002189825,-7.332164886,"index_23","I","Mid-latitude steppe"
0,-2.091563335,5.738527673,0,0,0,-0.204198872,0,-0.486392717,-0.378356109,-6.303209685,"index_24","E","Humid subtropical"
0,0,0,0,0,0,-0.915403659,0,0,0,-0.292667799,"index_25","B","Sub-arctic"
0,-5.227529734,5.543354117,0,0,-3.715711353,0,0,-0.226686164,0,-2.032854709,"index_26","B","Humid continental a"
0,0,5.885632666,-0.09118384,-0.236976517,-7.213190114,0,0,-8.711472385,-0.204383624,-3.195615963,"index_27","I","Subtropical dessert"
0,-1.980905796,0,-10.21031543,0,-1.134213789,0,0,0,0,-5.689612546,"index_28","F","mid-latitude desert"
0,-2.217733613,0,-0.063140434,0,0,-0.340491693,0,0,-11.64151934,0,"index_29","B","Humid subtropical"
0,-2.886856474,0,0,0,0,-0.190781444,0,-0.392014889,0,0,"index_30","E","Mediterranean b"
0,-0.258613641,0,-4.379100341,0,-2.65421458,-0.36917598,0,-8.76402647,0,0,"index_31","J","mid-latitude desert"
0,0,0,0,0,0,-0.776503581,-0.098537326,0,0,0,"index_32","G","Mid-latitude steppe"
0,0,0,0,0,0,0,0,-0.201794675,-15.88528362,-1.597807981,"index_33","A","Mid-latitude steppe"
0,0,5.934747806,-0.132444203,0,0,0,-1.012580371,0,-0.208033331,-8.323360264,"index_34","B","Mid-latitude steppe"
0,-2.322186057,0,0,-0.704747554,0,0,0,0,-0.152557776,0,"index_35","I","Humid subtropical"
0,0,4.695285058,-0.085289503,0,0,0,0,0,-15.79955101,0,"index_36","H","Humid continental b"
0,-2.896558338,0,-0.109147536,0,-1.442843391,0,0,-0.678732343,0,0,"index_37","I","Humid continental b"
0,0,0,-0.089499744,0,0,-0.257162403,0,0,0,0,"index_38","J","Humid continental b"
0,0,6.134595617,0,-0.535772994,0,0,0,0,-7.869284415,-1.977485125,"index_39","J","Humid subtropical"
0,-2.713608904,0,-0.002400777,0,-1.998376675,-0.080262634,0,-0.132098507,-4.549603104,-1.502888695,"index_40","B","Humid subtropical"
0,-2.396219355,0,0,0,0,-0.519281216,0,0,0,-1.906295661,"index_41","E","Mid-latitude steppe"
0,0,0,-0.365867571,0,-16.16921746,0,0,0,-4.027537818,-5.944491357,"index_42","C","Mediterranean b"
0,0,0,-0.095674764,0,0,-0.36117857,0,-8.010751251,-1.069167867,0,"index_43","J","Mid-latitude steppe"
0,-0.051005595,6.104110358,-0.141426051,0,-4.054177215,0,0,0,-0.220442337,0,"index_44","B","Humid continental a"
0,0,0,0,0,0,0,0,0,-0.375998352,0,"index_45","E","Humid subtropical"
0,-2.954769522,0,-0.318011026,0,0,0,-0.409916568,0,0,0,"index_46","I","Humid continental b"
0,-2.659555662,0,-5.041159696,0,-4.503519825,0,0,0,0,0,"index_47","B","mid-latitude desert"
0,-0.877520647,4.545077778,0,0,-1.844061874,0,-1.721533137,0,0,0,"index_48","J","Humid subtropical"
0,0,5.060546382,-0.101849784,0,-2.980423446,0,-0.101274474,-1.801388546,-0.412936552,-5.425293779,"index_49","J","Mediterranean b"
0,0,0,-0.06049958,0,0,0,-0.324572127,0,-0.070074385,0,"index_50","G","Mid-latitude steppe"
0.929089354,0,0,0,0,-0.254619422,0,0,0,-17.42847063,0,"index_51","G","Humid subtropical"
0,-0.082342659,0,-0.016085206,-0.008242661,-1.427411911,-0.087692762,0,-0.301360629,0,0,"index_52","F","Subtropical dessert"
0,-2.450272597,0,-0.044414374,0,0,0,-1.715725293,0,0,-4.320818929,"index_53","B","Humid continental a"
0,0,0,-0.046815151,0,0,-0.415314885,-0.293671553,0,-10.6555943,-4.821136596,"index_54","F","Humid continental b"
